Sheet,EPSG-gcp,EPSG-geotiff
030N,26718,26918
030M,26717,26917
030L,26717,26917
031A,26718,26918
031B,26718,26918
031C,26718,26918
031D,26717,26917
031E,26717,26917
031F,26718,26918
031G,26718,26918
031H,26718,26918
031I,26718,26918
031J,26718,26918
031K,26718,26918
031L,26717,26917
031M,26717,26917
031N,26718,26918
031O,26718,26918
031P,26718,26918
032A,26718,26918
032B,26718,26918
032C,26718,26918
032D,26717,26917
032E,26717,26917
032F,26718,26918
032G,26718,26918
032H,26718,26918
032I,26718,26918
032J,26718,26918
032K,26718,26918
032L,26717,26917
032M,26717,26917
032N,26718,26918
032O,26718,26918
032P,26718,26918
040A,26717,26917
040B,26717,26917
040C,26716,26916
040D,26716,26916
040E,26716,26916
040F,26716,26916
040G,26717,26917
040H,26717,26917
040I,26717,26917
040J,26717,26917
040K,26716,26916
040L,26716,26916
040M,26716,26916
040N,26716,26916
040O,26717,26917
040P,26717,26917
041A,26717,26917
041B,26717,26917
041C,26716,26916
041D,26716,26916
041E,26716,26916
041F,26716,26916
041G,26717,26917
041H,26717,26917
041I,26717,26917
041J,26717,26917
041K,26716,26916
041L,26716,26916
041M,26716,26916
041N,26716,26916
041O,26717,26917
041P,26717,26917
042A,26717,26917
042B,26717,26917
042C,26716,26916
042D,26716,26916
042E,26716,26916
042F,26716,26916
042G,26717,26917
042H,26717,26917
042I,26717,26917
042J,26717,26917
042K,26716,26916
042L,26716,26916
042M,26716,26916
042N,26716,26916
042O,26717,26917
042P,26717,26917
043A,26717,26917
043B,26717,26917
043C,26716,26916
043D,26716,26916
043E,26716,26916
043F,26716,26916
043G,26717,26917
043H,26717,26917
043I,26717,26917
043J,26717,26917
043K,26716,26916
043L,26716,26916
043M,26716,26916
043N,26716,26916
043O,26717,26917
043P,26717,26917
051P,26716,26916
052A,26716,26916
052B,26715,26915
052C,26715,26915
052D,26715,26915
052E,26715,26915
052F,26715,26915
052G,26715,26915
052H,26716,26916
052I,26716,26916
052J,26715,26915
052K,26715,26915
052L,26715,26915
052M,26715,26915
052N,26715,26915
052O,26715,26915
052P,26716,26916
053A,26716,26916
053B,26715,26915
053C,26715,26915
053D,26715,26915
053E,26715,26915
053F,26715,26915
053G,26715,26915
053H,26716,26916
053I,26716,26916
053J,26715,26915
053K,26715,26915
053L,26715,26915
053M,26715,26915
053N,26715,26915
053O,26715,26915
053P,26716,26916
054A,26716,26916
054B,26715,26915
054C,26715,26915
054D,26715,26915
054E,26715,26915
054F,26715,26915
054G,26715,26915
054H,26716,26916
054I,26716,26916
054J,26715,26915
054K,26715,26915
054L,26715,26915
054M,26715,26915
054N,26715,26915
054O,26715,26915
054P,26716,26916
