Sheet,Bound_east_latlong,Bound_west_latlong,Bound_south_latlong,Bound_north_latlong
024P10,-64.5,-65,59.5,59.75
024P11,-65,-65.5,59.5,59.75
024P12,-65.5,-66,59.5,59.75
024P13,-65.5,-66,59.75,60
024P14,-65,-65.5,59.75,60
024P15,-64.5,-65,59.75,60
024P16,-64,-64.5,59.75,60
025A01,-64,-64.5,60,60.25
025A02,-64.5,-65,60,60.25
025A03,-65,-65.5,60,60.25
025A04,-65.5,-66,60,60.25
025A05,-65.5,-66,60.25,60.5
025A06,-65,-65.5,60.25,60.5
025A07,-64.5,-65,60.25,60.5
025A08,-64,-64.5,60.25,60.5
025A09,-64,-64.5,60.5,60.75
025A10,-64.5,-65,60.5,60.75
025A11,-65,-65.5,60.5,60.75
025A12,-65.5,-66,60.5,60.75
025A13,-65.5,-66,60.75,61
025A14,-65,-65.5,60.75,61
025A15,-64.5,-65,60.75,61
025A16,-64,-64.5,60.75,61
025B01,-66,-66.5,60,60.25
025B02,-66.5,-67,60,60.25
025B03,-67,-67.5,60,60.25
025B04,-67.5,-68,60,60.25
025B05,-67.5,-68,60.25,60.5
025B06,-67,-67.5,60.25,60.5
025B07,-66.5,-67,60.25,60.5
025B08,-66,-66.5,60.25,60.5
025B09,-66,-66.5,60.5,60.75
025B10,-66.5,-67,60.5,60.75
025B11,-67,-67.5,60.5,60.75
025B12,-67.5,-68,60.5,60.75
025B13,-67.5,-68,60.75,61
025B14,-67,-67.5,60.75,61
025B15,-66.5,-67,60.75,61
025B16,-66,-66.5,60.75,61
025C01,-68,-68.5,60,60.25
025C02,-68.5,-69,60,60.25
025C03,-69,-69.5,60,60.25
025C04,-69.5,-70,60,60.25
025C05,-69.5,-70,60.25,60.5
025C06,-69,-69.5,60.25,60.5
025C07,-68.5,-69,60.25,60.5
025C08,-68,-68.5,60.25,60.5
025C09,-68,-68.5,60.5,60.75
025C10,-68.5,-69,60.5,60.75
025C11,-69,-69.5,60.5,60.75
025C12,-69.5,-70,60.5,60.75
025C13,-69.5,-70,60.75,61
025C14,-69,-69.5,60.75,61
025C15,-68.5,-69,60.75,61
025C16,-68,-68.5,60.75,61
025D01,-70,-70.5,60,60.25
025D02,-70.5,-71,60,60.25
025D03,-71,-71.5,60,60.25
025D04,-71.5,-72,60,60.25
025D05,-71.5,-72,60.25,60.5
025D06,-71,-71.5,60.25,60.5
025D07,-70.5,-71,60.25,60.5
025D08,-70,-70.5,60.25,60.5
025D09,-70,-70.5,60.5,60.75
025D10,-70.5,-71,60.5,60.75
025D11,-71,-71.5,60.5,60.75
025D12,-71.5,-72,60.5,60.75
025D13,-71.5,-72,60.75,61
025D14,-71,-71.5,60.75,61
025D15,-70.5,-71,60.75,61
025D16,-70,-70.5,60.75,61
025E01,-70,-70.5,61,61.25
025E02,-70.5,-71,61,61.25
025E03,-71,-71.5,61,61.25
025E04,-71.5,-72,61,61.25
025E05,-71.5,-72,61.25,61.5
025E06,-71,-71.5,61.25,61.5
025E07,-70.5,-71,61.25,61.5
025E08,-70,-70.5,61.25,61.5
025E09,-70,-70.5,61.5,61.75
025E10,-70.5,-71,61.5,61.75
025E11,-71,-71.5,61.5,61.75
025E12,-71.5,-72,61.5,61.75
025E13,-71.5,-72,61.75,62
025E14,-71,-71.5,61.75,62
025E15,-70.5,-71,61.75,62
025E16,-70,-70.5,61.75,62
025F01,-68,-68.5,61,61.25
025F02,-68.5,-69,61,61.25
025F03,-69,-69.5,61,61.25
025F04,-69.5,-70,61,61.25
025F05,-69.5,-70,61.25,61.5
025F06,-69,-69.5,61.25,61.5
025F07,-68.5,-69,61.25,61.5
025F08,-68,-68.5,61.25,61.5
025F09,-68,-68.5,61.5,61.75
025F10,-68.5,-69,61.5,61.75
025F11,-69,-69.5,61.5,61.75
025F12,-69.5,-70,61.5,61.75
025F13,-69.5,-70,61.75,62
025F14,-69,-69.5,61.75,62
025F15,-68.5,-69,61.75,62
025F16,-68,-68.5,61.75,62
025G01,-66,-66.5,61,61.25
025G02,-66.5,-67,61,61.25
025G03,-67,-67.5,61,61.25
025G04,-67.5,-68,61,61.25
025G05,-67.5,-68,61.25,61.5
025G06,-67,-67.5,61.25,61.5
025G07,-66.5,-67,61.25,61.5
025G08,-66,-66.5,61.25,61.5
025G09,-66,-66.5,61.5,61.75
025G10,-66.5,-67,61.5,61.75
025G11,-67,-67.5,61.5,61.75
025G12,-67.5,-68,61.5,61.75
025G13,-67.5,-68,61.75,62
025G14,-67,-67.5,61.75,62
025G15,-66.5,-67,61.75,62
025G16,-66,-66.5,61.75,62
025H01,-64,-64.5,61,61.25
025H02,-64.5,-65,61,61.25
025H03,-65,-65.5,61,61.25
025H04,-65.5,-66,61,61.25
025H05,-65.5,-66,61.25,61.5
025H06,-65,-65.5,61.25,61.5
025H07,-64.5,-65,61.25,61.5
025H08,-64,-64.5,61.25,61.5
025H09,-64,-64.5,61.5,61.75
025H10,-64.5,-65,61.5,61.75
025H11,-65,-65.5,61.5,61.75
025H12,-65.5,-66,61.5,61.75
025H13,-65.5,-66,61.75,62
025H14,-65,-65.5,61.75,62
025H15,-64.5,-65,61.75,62
025H16,-64,-64.5,61.75,62
025I01,-64,-64.5,62,62.25
025I02,-64.5,-65,62,62.25
025I03,-65,-65.5,62,62.25
025I04,-65.5,-66,62,62.25
025I05,-65.5,-66,62.25,62.5
025I06,-65,-65.5,62.25,62.5
025I07,-64.5,-65,62.25,62.5
025I08,-64,-64.5,62.25,62.5
025I09,-64,-64.5,62.5,62.75
025I10,-64.5,-65,62.5,62.75
025I11,-65,-65.5,62.5,62.75
025I12,-65.5,-66,62.5,62.75
025I13,-65.5,-66,62.75,63
025I14,-65,-65.5,62.75,63
025I15,-64.5,-65,62.75,63
025I16,-64,-64.5,62.75,63
025J01,-66,-66.5,62,62.25
025J02,-66.5,-67,62,62.25
025J03,-67,-67.5,62,62.25
025J04,-67.5,-68,62,62.25
025J05,-67.5,-68,62.25,62.5
025J06,-67,-67.5,62.25,62.5
025J07,-66.5,-67,62.25,62.5
025J08,-66,-66.5,62.25,62.5
025J09,-66,-66.5,62.5,62.75
025J10,-66.5,-67,62.5,62.75
025J11,-67,-67.5,62.5,62.75
025J12,-67.5,-68,62.5,62.75
025J13,-67.5,-68,62.75,63
025J14,-67,-67.5,62.75,63
025J15,-66.5,-67,62.75,63
025J16,-66,-66.5,62.75,63
025K01,-68,-68.5,62,62.25
025K02,-68.5,-69,62,62.25
025K03,-69,-69.5,62,62.25
025K04,-69.5,-70,62,62.25
025K05,-69.5,-70,62.25,62.5
025K06,-69,-69.5,62.25,62.5
025K07,-68.5,-69,62.25,62.5
025K08,-68,-68.5,62.25,62.5
025K09,-68,-68.5,62.5,62.75
025K10,-68.5,-69,62.5,62.75
025K11,-69,-69.5,62.5,62.75
025K12,-69.5,-70,62.5,62.75
025K13,-69.5,-70,62.75,63
025K14,-69,-69.5,62.75,63
025K15,-68.5,-69,62.75,63
025K16,-68,-68.5,62.75,63
025L01,-70,-70.5,62,62.25
025L02,-70.5,-71,62,62.25
025L03,-71,-71.5,62,62.25
025L04,-71.5,-72,62,62.25
025L05,-71.5,-72,62.25,62.5
025L06,-71,-71.5,62.25,62.5
025L07,-70.5,-71,62.25,62.5
025L08,-70,-70.5,62.25,62.5
025L09,-70,-70.5,62.5,62.75
025L10,-70.5,-71,62.5,62.75
025L11,-71,-71.5,62.5,62.75
025L12,-71.5,-72,62.5,62.75
025L13,-71.5,-72,62.75,63
025L14,-71,-71.5,62.75,63
025L15,-70.5,-71,62.75,63
025L16,-70,-70.5,62.75,63
025M01,-70,-70.5,63,63.25
025M02,-70.5,-71,63,63.25
025M03,-71,-71.5,63,63.25
025M04,-71.5,-72,63,63.25
025M05,-71.5,-72,63.25,63.5
025M06,-71,-71.5,63.25,63.5
025M07,-70.5,-71,63.25,63.5
025M08,-70,-70.5,63.25,63.5
025M09,-70,-70.5,63.5,63.75
025M10,-70.5,-71,63.5,63.75
025M11,-71,-71.5,63.5,63.75
025M12,-71.5,-72,63.5,63.75
025M13,-71.5,-72,63.75,64
025M14,-71,-71.5,63.75,64
025M15,-70.5,-71,63.75,64
025M16,-70,-70.5,63.75,64
025N01,-68,-68.5,63,63.25
025N02,-68.5,-69,63,63.25
025N03,-69,-69.5,63,63.25
025N04,-69.5,-70,63,63.25
025N05,-69.5,-70,63.25,63.5
025N06,-69,-69.5,63.25,63.5
025N07,-68.5,-69,63.25,63.5
025N08,-68,-68.5,63.25,63.5
025N09,-68,-68.5,63.5,63.75
025N10,-68.5,-69,63.5,63.75
025N11,-69,-69.5,63.5,63.75
025N12,-69.5,-70,63.5,63.75
025N13,-69.5,-70,63.75,64
025N14,-69,-69.5,63.75,64
025N15,-68.5,-69,63.75,64
025N16,-68,-68.5,63.75,64
025O01,-66,-66.5,63,63.25
025O02,-66.5,-67,63,63.25
025O03,-67,-67.5,63,63.25
025O04,-67.5,-68,63,63.25
025O05,-67.5,-68,63.25,63.5
025O06,-67,-67.5,63.25,63.5
025O07,-66.5,-67,63.25,63.5
025O08,-66,-66.5,63.25,63.5
025O09,-66,-66.5,63.5,63.75
025O10,-66.5,-67,63.5,63.75
025O11,-67,-67.5,63.5,63.75
025O12,-67.5,-68,63.5,63.75
025O13,-67.5,-68,63.75,64
025O14,-67,-67.5,63.75,64
025O15,-66.5,-67,63.75,64
025O16,-66,-66.5,63.75,64
025P01,-64,-64.5,63,63.25
025P02,-64.5,-65,63,63.25
025P03,-65,-65.5,63,63.25
025P04,-65.5,-66,63,63.25
025P05,-65.5,-66,63.25,63.5
025P06,-65,-65.5,63.25,63.5
025P07,-64.5,-65,63.25,63.5
025P08,-64,-64.5,63.25,63.5
025P09,-64,-64.5,63.5,63.75
025P10,-64.5,-65,63.5,63.75
025P11,-65,-65.5,63.5,63.75
025P12,-65.5,-66,63.5,63.75
025P13,-65.5,-66,63.75,64
025P14,-65,-65.5,63.75,64
025P15,-64.5,-65,63.75,64
025P16,-64,-64.5,63.75,64
026A01,-64,-64.5,64,64.25
026A02,-64.5,-65,64,64.25
026A03,-65,-65.5,64,64.25
026A04,-65.5,-66,64,64.25
026A05,-65.5,-66,64.25,64.5
026A06,-65,-65.5,64.25,64.5
026A07,-64.5,-65,64.25,64.5
026A08,-64,-64.5,64.25,64.5
026A09,-64,-64.5,64.5,64.75
026A10,-64.5,-65,64.5,64.75
026A11,-65,-65.5,64.5,64.75
026A12,-65.5,-66,64.5,64.75
026A13,-65.5,-66,64.75,65
026A14,-65,-65.5,64.75,65
026A15,-64.5,-65,64.75,65
026A16,-64,-64.5,64.75,65
026B01,-66,-66.5,64,64.25
026B02,-66.5,-67,64,64.25
026B03,-67,-67.5,64,64.25
026B04,-67.5,-68,64,64.25
026B05,-67.5,-68,64.25,64.5
026B06,-67,-67.5,64.25,64.5
026B07,-66.5,-67,64.25,64.5
026B08,-66,-66.5,64.25,64.5
026B09,-66,-66.5,64.5,64.75
026B10,-66.5,-67,64.5,64.75
026B11,-67,-67.5,64.5,64.75
026B12,-67.5,-68,64.5,64.75
026B13,-67.5,-68,64.75,65
026B14,-67,-67.5,64.75,65
026B15,-66.5,-67,64.75,65
026B16,-66,-66.5,64.75,65
026C01,-68,-68.5,64,64.25
026C02,-68.5,-69,64,64.25
026C03,-69,-69.5,64,64.25
026C04,-69.5,-70,64,64.25
026C05,-69.5,-70,64.25,64.5
026C06,-69,-69.5,64.25,64.5
026C07,-68.5,-69,64.25,64.5
026C08,-68,-68.5,64.25,64.5
026C09,-68,-68.5,64.5,64.75
026C10,-68.5,-69,64.5,64.75
026C11,-69,-69.5,64.5,64.75
026C12,-69.5,-70,64.5,64.75
026C13,-69.5,-70,64.75,65
026C14,-69,-69.5,64.75,65
026C15,-68.5,-69,64.75,65
026C16,-68,-68.5,64.75,65
026D01,-70,-70.5,64,64.25
026D02,-70.5,-71,64,64.25
026D03,-71,-71.5,64,64.25
026D04,-71.5,-72,64,64.25
026D05,-71.5,-72,64.25,64.5
026D06,-71,-71.5,64.25,64.5
026D07,-70.5,-71,64.25,64.5
026D08,-70,-70.5,64.25,64.5
026D09,-70,-70.5,64.5,64.75
026D10,-70.5,-71,64.5,64.75
026D11,-71,-71.5,64.5,64.75
026D12,-71.5,-72,64.5,64.75
026D13,-71.5,-72,64.75,65
026D14,-71,-71.5,64.75,65
026D15,-70.5,-71,64.75,65
026D16,-70,-70.5,64.75,65
026E01,-70,-70.5,65,65.25
026E02,-70.5,-71,65,65.25
026E03,-71,-71.5,65,65.25
026E04,-71.5,-72,65,65.25
026E05,-71.5,-72,65.25,65.5
026E06,-71,-71.5,65.25,65.5
026E07,-70.5,-71,65.25,65.5
026E08,-70,-70.5,65.25,65.5
026E09,-70,-70.5,65.5,65.75
026E10,-70.5,-71,65.5,65.75
026E11,-71,-71.5,65.5,65.75
026E12,-71.5,-72,65.5,65.75
026E13,-71.5,-72,65.75,66
026E14,-71,-71.5,65.75,66
026E15,-70.5,-71,65.75,66
026E16,-70,-70.5,65.75,66
026F01,-68,-68.5,65,65.25
026F02,-68.5,-69,65,65.25
026F03,-69,-69.5,65,65.25
026F04,-69.5,-70,65,65.25
026F05,-69.5,-70,65.25,65.5
026F06,-69,-69.5,65.25,65.5
026F07,-68.5,-69,65.25,65.5
026F08,-68,-68.5,65.25,65.5
026F09,-68,-68.5,65.5,65.75
026F10,-68.5,-69,65.5,65.75
026F11,-69,-69.5,65.5,65.75
026F12,-69.5,-70,65.5,65.75
026F13,-69.5,-70,65.75,66
026F14,-69,-69.5,65.75,66
026F15,-68.5,-69,65.75,66
026F16,-68,-68.5,65.75,66
026G01,-66,-66.5,65,65.25
026G02,-66.5,-67,65,65.25
026G03,-67,-67.5,65,65.25
026G04,-67.5,-68,65,65.25
026G05,-67.5,-68,65.25,65.5
026G06,-67,-67.5,65.25,65.5
026G07,-66.5,-67,65.25,65.5
026G08,-66,-66.5,65.25,65.5
026G09,-66,-66.5,65.5,65.75
026G10,-66.5,-67,65.5,65.75
026G11,-67,-67.5,65.5,65.75
026G12,-67.5,-68,65.5,65.75
026G13,-67.5,-68,65.75,66
026G14,-67,-67.5,65.75,66
026G15,-66.5,-67,65.75,66
026G16,-66,-66.5,65.75,66
026H01,-64,-64.5,65,65.25
026H02,-64.5,-65,65,65.25
026H03,-65,-65.5,65,65.25
026H04,-65.5,-66,65,65.25
026H05,-65.5,-66,65.25,65.5
026H06,-65,-65.5,65.25,65.5
026H07,-64.5,-65,65.25,65.5
026H08,-64,-64.5,65.25,65.5
026H09,-64,-64.5,65.5,65.75
026H10,-64.5,-65,65.5,65.75
026H11,-65,-65.5,65.5,65.75
026H12,-65.5,-66,65.5,65.75
026H13,-65.5,-66,65.75,66
026H14,-65,-65.5,65.75,66
026H15,-64.5,-65,65.75,66
026H16,-64,-64.5,65.75,66
026I01,-64,-64.5,66,66.25
026I02,-64.5,-65,66,66.25
026I03,-65,-65.5,66,66.25
026I04,-65.5,-66,66,66.25
026I05,-65.5,-66,66.25,66.5
026I06,-65,-65.5,66.25,66.5
026I07,-64.5,-65,66.25,66.5
026I08,-64,-64.5,66.25,66.5
026I09,-64,-64.5,66.5,66.75
026I10,-64.5,-65,66.5,66.75
026I11,-65,-65.5,66.5,66.75
026I12,-65.5,-66,66.5,66.75
026I13,-65.5,-66,66.75,67
026I14,-65,-65.5,66.75,67
026I15,-64.5,-65,66.75,67
026I16,-64,-64.5,66.75,67
026J01,-66,-66.5,66,66.25
026J02,-66.5,-67,66,66.25
026J03,-67,-67.5,66,66.25
026J04,-67.5,-68,66,66.25
026J05,-67.5,-68,66.25,66.5
026J06,-67,-67.5,66.25,66.5
026J07,-66.5,-67,66.25,66.5
026J08,-66,-66.5,66.25,66.5
026J09,-66,-66.5,66.5,66.75
026J10,-66.5,-67,66.5,66.75
026J11,-67,-67.5,66.5,66.75
026J12,-67.5,-68,66.5,66.75
026J13,-67.5,-68,66.75,67
026J14,-67,-67.5,66.75,67
026J15,-66.5,-67,66.75,67
026J16,-66,-66.5,66.75,67
026K01,-68,-68.5,66,66.25
026K02,-68.5,-69,66,66.25
026K03,-69,-69.5,66,66.25
026K04,-69.5,-70,66,66.25
026K05,-69.5,-70,66.25,66.5
026K06,-69,-69.5,66.25,66.5
026K07,-68.5,-69,66.25,66.5
026K08,-68,-68.5,66.25,66.5
026K09,-68,-68.5,66.5,66.75
026K10,-68.5,-69,66.5,66.75
026K11,-69,-69.5,66.5,66.75
026K12,-69.5,-70,66.5,66.75
026K13,-69.5,-70,66.75,67
026K14,-69,-69.5,66.75,67
026K15,-68.5,-69,66.75,67
026K16,-68,-68.5,66.75,67
026L01,-70,-70.5,66,66.25
026L02,-70.5,-71,66,66.25
026L03,-71,-71.5,66,66.25
026L04,-71.5,-72,66,66.25
026L05,-71.5,-72,66.25,66.5
026L06,-71,-71.5,66.25,66.5
026L07,-70.5,-71,66.25,66.5
026L08,-70,-70.5,66.25,66.5
026L09,-70,-70.5,66.5,66.75
026L10,-70.5,-71,66.5,66.75
026L11,-71,-71.5,66.5,66.75
026L12,-71.5,-72,66.5,66.75
026L13,-71.5,-72,66.75,67
026L14,-71,-71.5,66.75,67
026L15,-70.5,-71,66.75,67
026L16,-70,-70.5,66.75,67
026M01,-70,-70.5,67,67.25
026M02,-70.5,-71,67,67.25
026M03,-71,-71.5,67,67.25
026M04,-71.5,-72,67,67.25
026M05,-71.5,-72,67.25,67.5
026M06,-71,-71.5,67.25,67.5
026M07,-70.5,-71,67.25,67.5
026M08,-70,-70.5,67.25,67.5
026M09,-70,-70.5,67.5,67.75
026M10,-70.5,-71,67.5,67.75
026M11,-71,-71.5,67.5,67.75
026M12,-71.5,-72,67.5,67.75
026M13,-71.5,-72,67.75,68
026M14,-71,-71.5,67.75,68
026M15,-70.5,-71,67.75,68
026M16,-70,-70.5,67.75,68
026N01,-68,-68.5,67,67.25
026N02,-68.5,-69,67,67.25
026N03,-69,-69.5,67,67.25
026N04,-69.5,-70,67,67.25
026N05,-69.5,-70,67.25,67.5
026N06,-69,-69.5,67.25,67.5
026N07,-68.5,-69,67.25,67.5
026N08,-68,-68.5,67.25,67.5
026N09,-68,-68.5,67.5,67.75
026N10,-68.5,-69,67.5,67.75
026N11,-69,-69.5,67.5,67.75
026N12,-69.5,-70,67.5,67.75
026N13,-69.5,-70,67.75,68
026N14,-69,-69.5,67.75,68
026N15,-68.5,-69,67.75,68
026N16,-68,-68.5,67.75,68
026O01,-66,-66.5,67,67.25
026O02,-66.5,-67,67,67.25
026O03,-67,-67.5,67,67.25
026O04,-67.5,-68,67,67.25
026O05,-67.5,-68,67.25,67.5
026O06,-67,-67.5,67.25,67.5
026O07,-66.5,-67,67.25,67.5
026O08,-66,-66.5,67.25,67.5
026O09,-66,-66.5,67.5,67.75
026O10,-66.5,-67,67.5,67.75
026O11,-67,-67.5,67.5,67.75
026O12,-67.5,-68,67.5,67.75
026O13,-67.5,-68,67.75,68
026O14,-67,-67.5,67.75,68
026O15,-66.5,-67,67.75,68
026O16,-66,-66.5,67.75,68
026P01,-64,-64.5,67,67.25
026P02,-64.5,-65,67,67.25
026P03,-65,-65.5,67,67.25
026P04,-65.5,-66,67,67.25
026P05,-65.5,-66,67.25,67.5
026P06,-65,-65.5,67.25,67.5
026P07,-64.5,-65,67.25,67.5
026P08,-64,-64.5,67.25,67.5
026P09,-64,-64.5,67.5,67.75
026P10,-64.5,-65,67.5,67.75
026P11,-65,-65.5,67.5,67.75
026P12,-65.5,-66,67.5,67.75
026P13,-65.5,-66,67.75,68
026P14,-65,-65.5,67.75,68
026P15,-64.5,-65,67.75,68
026P16,-64,-64.5,67.75,68
027A01,-64,-65,68,68.25
027A02,-65,-66,68,68.25
027A03,-66,-67,68,68.25
027A04,-67,-68,68,68.25
027A05,-67,-68,68.25,68.5
027A06,-66,-67,68.25,68.5
027A07,-65,-66,68.25,68.5
027A08,-64,-65,68.25,68.5
027A09,-64,-65,68.5,68.75
027A10,-65,-66,68.5,68.75
027A11,-66,-67,68.5,68.75
027A12,-67,-68,68.5,68.75
027A13,-67,-68,68.75,69
027A14,-66,-67,68.75,69
027A15,-65,-66,68.75,69
027A16,-64,-65,68.75,69
027B01,-68,-69,68,68.25
027B02,-69,-70,68,68.25
027B03,-70,-71,68,68.25
027B04,-71,-72,68,68.25
027B05,-71,-72,68.25,68.5
027B06,-70,-71,68.25,68.5
027B07,-69,-70,68.25,68.5
027B08,-68,-69,68.25,68.5
027B09,-68,-69,68.5,68.75
027B10,-69,-70,68.5,68.75
027B11,-70,-71,68.5,68.75
027B12,-71,-72,68.5,68.75
027B13,-71,-72,68.75,69
027B14,-70,-71,68.75,69
027B15,-69,-70,68.75,69
027B16,-68,-69,68.75,69
027C01,-68,-69,69,69.25
027C02,-69,-70,69,69.25
027C03,-70,-71,69,69.25
027C04,-71,-72,69,69.25
027C05,-71,-72,69.25,69.5
027C06,-70,-71,69.25,69.5
027C07,-69,-70,69.25,69.5
027C08,-68,-69,69.25,69.5
027C09,-68,-69,69.5,69.75
027C10,-69,-70,69.5,69.75
027C11,-70,-71,69.5,69.75
027C12,-71,-72,69.5,69.75
027C13,-71,-72,69.75,70
027C14,-70,-71,69.75,70
027C15,-69,-70,69.75,70
027C16,-68,-69,69.75,70
027D01,-64,-65,69,69.25
027D02,-65,-66,69,69.25
027D03,-66,-67,69,69.25
027D04,-67,-68,69,69.25
027D05,-67,-68,69.25,69.5
027D06,-66,-67,69.25,69.5
027D07,-65,-66,69.25,69.5
027D08,-64,-65,69.25,69.5
027D09,-64,-65,69.5,69.75
027D10,-65,-66,69.5,69.75
027D11,-66,-67,69.5,69.75
027D12,-67,-68,69.5,69.75
027D13,-67,-68,69.75,70
027D14,-66,-67,69.75,70
027D15,-65,-66,69.75,70
027D16,-64,-65,69.75,70
027E01,-64,-65,70,70.25
027E02,-65,-66,70,70.25
027E03,-66,-67,70,70.25
027E04,-67,-68,70,70.25
027E05,-67,-68,70.25,70.5
027E06,-66,-67,70.25,70.5
027E07,-65,-66,70.25,70.5
027E08,-64,-65,70.25,70.5
027E09,-64,-65,70.5,70.75
027E10,-65,-66,70.5,70.75
027E11,-66,-67,70.5,70.75
027E12,-67,-68,70.5,70.75
027E13,-67,-68,70.75,71
027E14,-66,-67,70.75,71
027E15,-65,-66,70.75,71
027E16,-64,-65,70.75,71
027F01,-68,-69,70,70.25
027F02,-69,-70,70,70.25
027F03,-70,-71,70,70.25
027F04,-71,-72,70,70.25
027F05,-71,-72,70.25,70.5
027F06,-70,-71,70.25,70.5
027F07,-69,-70,70.25,70.5
027F08,-68,-69,70.25,70.5
027F09,-68,-69,70.5,70.75
027F10,-69,-70,70.5,70.75
027F11,-70,-71,70.5,70.75
027F12,-71,-72,70.5,70.75
027F13,-71,-72,70.75,71
027F14,-70,-71,70.75,71
027F15,-69,-70,70.75,71
027F16,-68,-69,70.75,71
027G01,-68,-69,71,71.25
027G02,-69,-70,71,71.25
027G03,-70,-71,71,71.25
027G04,-71,-72,71,71.25
027G05,-71,-72,71.25,71.5
027G06,-70,-71,71.25,71.5
027G07,-69,-70,71.25,71.5
027G08,-68,-69,71.25,71.5
027G09,-68,-69,71.5,71.75
027G10,-69,-70,71.5,71.75
027G11,-70,-71,71.5,71.75
027G12,-71,-72,71.5,71.75
027G13,-71,-72,71.75,72
027G14,-70,-71,71.75,72
027G15,-69,-70,71.75,72
027G16,-68,-69,71.75,72
027H01,-64,-65,71,71.25
027H02,-65,-66,71,71.25
027H03,-66,-67,71,71.25
027H04,-67,-68,71,71.25
027H05,-67,-68,71.25,71.5
027H06,-66,-67,71.25,71.5
027H07,-65,-66,71.25,71.5
027H08,-64,-65,71.25,71.5
027H09,-64,-65,71.5,71.75
027H10,-65,-66,71.5,71.75
027H11,-66,-67,71.5,71.75
027H12,-67,-68,71.5,71.75
027H13,-67,-68,71.75,72
027H14,-66,-67,71.75,72
027H15,-65,-66,71.75,72
027H16,-64,-65,71.75,72
028A01,-64,-65,72,72.25
028A02,-65,-66,72,72.25
028A03,-66,-67,72,72.25
028A04,-67,-68,72,72.25
028A05,-67,-68,72.25,72.5
028A06,-66,-67,72.25,72.5
028A07,-65,-66,72.25,72.5
028A08,-64,-65,72.25,72.5
028A09,-64,-65,72.5,72.75
028A10,-65,-66,72.5,72.75
028A11,-66,-67,72.5,72.75
028A12,-67,-68,72.5,72.75
028A13,-67,-68,72.75,73
028A14,-66,-67,72.75,73
028A15,-65,-66,72.75,73
028A16,-64,-65,72.75,73
028B01,-68,-69,72,72.25
028B02,-69,-70,72,72.25
028B03,-70,-71,72,72.25
028B04,-71,-72,72,72.25
028B05,-71,-72,72.25,72.5
028B06,-70,-71,72.25,72.5
028B07,-69,-70,72.25,72.5
028B08,-68,-69,72.25,72.5
028B09,-68,-69,72.5,72.75
028B10,-69,-70,72.5,72.75
028B11,-70,-71,72.5,72.75
028B12,-71,-72,72.5,72.75
028B13,-71,-72,72.75,73
028B14,-70,-71,72.75,73
028B15,-69,-70,72.75,73
028B16,-68,-69,72.75,73
028C01,-68,-69,73,73.25
028C02,-69,-70,73,73.25
028C03,-70,-71,73,73.25
028C04,-71,-72,73,73.25
028C05,-71,-72,73.25,73.5
028C06,-70,-71,73.25,73.5
028C07,-69,-70,73.25,73.5
028C08,-68,-69,73.25,73.5
028C09,-68,-69,73.5,73.75
028C10,-69,-70,73.5,73.75
028C11,-70,-71,73.5,73.75
028C12,-71,-72,73.5,73.75
028C13,-71,-72,73.75,74
028C14,-70,-71,73.75,74
028C15,-69,-70,73.75,74
028C16,-68,-69,73.75,74
028D02,-65,-66,73,73.25
028D03,-66,-67,73,73.25
028D04,-67,-68,73,73.25
028D05,-67,-68,73.25,73.5
028D06,-66,-67,73.25,73.5
028D12,-67,-68,73.5,73.75
028F02,-69,-70,74,74.25
028F03,-70,-71,74,74.25
028F04,-71,-72,74,74.25
028F05,-71,-72,74.25,74.5
028F06,-70,-71,74.25,74.5
028F12,-71,-72,74.5,74.75
029G04,-71,-72,79,79.25
029G05,-71,-72,79.25,79.5
029G06,-70,-71,79.25,79.5
029G10,-69,-70,79.5,79.75
029G11,-70,-71,79.5,79.75
029G12,-71,-72,79.5,79.75
029G13,-71,-72,79.75,80
029G14,-70,-71,79.75,80
029G15,-69,-70,79.75,80
029G16,-68,-69,79.75,80
030L05,-79.5,-80,42.25,42.5
030L11,-79,-79.5,42.5,42.75
030L12,-79.5,-80,42.5,42.75
030L13,-79.5,-80,42.75,43
030L14,-79,-79.5,42.75,43
030L15,-78.5,-79,42.75,43
030M02,-78.5,-79,43,43.25
030M03,-79,-79.5,43,43.25
030M04,-79.5,-80,43,43.25
030M05,-79.5,-80,43.25,43.5
030M06,-79,-79.5,43.25,43.5
030M09,-78,-78.5,43.5,43.75
030M10,-78.5,-79,43.5,43.75
030M11,-79,-79.5,43.5,43.75
030M12,-79.5,-80,43.5,43.75
030M13,-79.5,-80,43.75,44
030M14,-79,-79.5,43.75,44
030M15,-78.5,-79,43.75,44
030M16,-78,-78.5,43.75,44
030N10,-76.5,-77,43.5,43.75
030N11,-77,-77.5,43.5,43.75
030N12,-77.5,-78,43.5,43.75
030N13,-77.5,-78,43.75,44
030N14,-77,-77.5,43.75,44
030N15,-76.5,-77,43.75,44
031A13,-73.5,-74,44.75,45
031B05,-75.5,-76,44.25,44.5
031B11,-75,-75.5,44.5,44.75
031B12,-75.5,-76,44.5,44.75
031B13,-75.5,-76,44.75,45
031B14,-75,-75.5,44.75,45
031B15,-74.5,-75,44.75,45
031B16,-74,-74.5,44.75,45
031C01,-76,-76.5,44,44.25
031C02,-76.5,-77,44,44.25
031C03,-77,-77.5,44,44.25
031C04,-77.5,-78,44,44.25
031C05,-77.5,-78,44.25,44.5
